,value,signal,price
2016-05-31,1.0,0,1860.0
2016-06-01,1.0,0,1828.0
2016-06-02,1.0,0,1856.0
2016-06-03,1.0,0,1876.0
2016-06-06,1.0,0,1914.0
2016-06-07,1.0,0,1922.0
2016-06-08,1.0,0,1912.0
2016-06-13,1.0,0,1918.0
2016-06-14,1.0,0,1936.0
2016-06-15,1.0,0,1930.0
2016-06-16,1.0,0,1922.0
2016-06-17,1.0,0,1924.0
2016-06-20,1.0,0,1990.0
2016-06-21,1.0,0,1972.0
2016-06-22,1.0,0,2026.0
2016-06-23,1.0,0,2018.0
2016-06-24,1.0,0,1970.0
2016-06-27,1.0,0,2028.0
2016-06-28,1.0,0,2022.0
2016-06-29,1.0,0,2060.0
2016-06-30,1.0,0,2082.0
2016-07-01,1.0,0,2040.0
2016-07-04,1.0,0,2136.0
2016-07-05,1.0,0,2032.0
2016-07-06,1.0,0,1952.0
2016-07-07,1.0,0,1952.0
2016-07-08,1.0,0,1932.0
2016-07-11,1.0,0,1964.0
2016-07-12,1.0,0,2024.0
2016-07-13,1.0,0,2020.0
2016-07-14,1.0,0,2076.0
2016-07-15,1.0,0,2074.0
2016-07-18,1.0,0,1982.0
2016-07-19,1.0,0,1980.0
2016-07-20,1.0,0,1990.0
2016-07-21,1.0,0,2040.0
2016-07-22,1.0,0,1978.0
2016-07-25,1.0,0,1994.0
2016-07-26,1.0,0,2004.0
2016-07-27,1.0,0,1982.0
2016-07-28,1.0,0,1976.0
2016-07-29,1.0,0,1882.0
2016-08-01,1.0,0,1910.0
2016-08-02,1.0,0,1886.0
2016-08-03,1.0,0,1890.0
2016-08-04,1.0,0,1964.0
2016-08-05,1.0,0,1964.0
2016-08-08,1.0,0,2004.0
2016-08-09,1.0,0,2002.0
2016-08-10,1.0,0,1996.0
2016-08-11,1.0,0,1980.0
2016-08-12,1.0,0,2030.0
2016-08-15,1.0,0,2038.0
2016-08-16,1.0,0,2020.0
2016-08-17,1.0,0,2022.0
2016-08-18,1.0,0,1996.0
2016-08-19,1.0,0,1964.0
2016-08-22,1.0,0,1896.0
2016-08-23,1.0,0,1892.0
2016-08-24,1.0,0,1896.0
2016-08-25,1.0,0,1854.0
2016-08-26,1.0,0,1870.0
2016-08-29,1.0,0,1878.0
2016-08-30,1.0,0,1858.0
2016-08-31,1.0,-1,1852.0
2016-09-01,0.9870639999999999,-1,1876.0
2016-09-02,0.991376,-1,1868.0
2016-09-05,0.9849079999999999,-1,1880.0
2016-09-06,0.9687380000000001,-1,1910.0
2016-09-07,0.9719720000000001,-1,1904.0
2016-09-08,0.97305,-1,1902.0
2016-09-09,0.975206,-1,1898.0
2016-09-12,1.015092,-1,1824.0
2016-09-13,1.015092,-1,1824.0
2016-09-14,1.018326,-1,1818.0
2016-09-19,1.006468,-1,1840.0
2016-09-20,1.006468,-1,1840.0
2016-09-21,1.0118580000000001,-1,1830.0
2016-09-22,1.01617,-1,1822.0
2016-09-23,1.0118580000000001,-1,1830.0
2016-09-26,1.01617,-1,1822.0
2016-09-27,1.0237159999999998,-1,1808.0
2016-09-28,1.0237159999999998,-1,1718.0
2016-09-29,1.014628,-1,1734.0
2016-09-30,1.015764,0,1732.0
2016-10-10,1.015764,0,1730.0
2016-10-11,1.015764,0,1770.0
2016-10-12,1.015764,0,1736.0
2016-10-13,1.015764,0,1730.0
2016-10-14,1.015764,0,1720.0
2016-10-17,1.015764,0,1776.0
2016-10-18,1.015764,0,1770.0
2016-10-19,1.015764,0,1770.0
2016-10-20,1.015764,0,1836.0
2016-10-21,1.015764,0,1830.0
2016-10-24,1.015764,0,1832.0
2016-10-25,1.015764,0,1802.0
2016-10-26,1.015764,0,1760.0
2016-10-27,1.015764,0,1772.0
2016-10-28,1.015764,0,1820.0
2016-10-31,1.015764,0,1812.0
2016-11-01,1.015764,0,1828.0
2016-11-02,1.015764,0,1818.0
2016-11-03,1.015764,0,1814.0
2016-11-04,1.015764,0,1756.0
2016-11-07,1.015764,0,1772.0
2016-11-08,1.015764,0,1818.0
2016-11-09,1.015764,0,1820.0
2016-11-10,1.015764,0,1892.0
2016-11-11,1.015764,0,2248.0
2016-11-14,1.015764,0,2084.0
2016-11-15,1.015764,0,2120.0
2016-11-16,1.015764,0,2188.0
2016-11-17,1.015764,0,2182.0
2016-11-18,1.015764,0,2168.0
2016-11-21,1.015764,0,2246.0
2016-11-22,1.015764,0,2326.0
2016-11-23,1.015764,0,2348.0
2016-11-24,1.015764,0,2312.0
2016-11-25,1.015764,0,2288.0
2016-11-28,1.015764,0,2342.0
2016-11-29,1.015764,0,2304.0
2016-11-30,1.015764,1,2228.0
2016-12-01,1.0685512235519998,1,2344.0
2016-12-02,1.06582084992,1,2338.0
2016-12-05,1.10222583168,1,2418.0
2016-12-06,1.098585333504,1,2410.0
2016-12-07,1.1140574507519998,1,2444.0
2016-12-08,1.090394212608,1,2392.0
2016-12-09,1.124068820736,1,2466.0
2016-12-12,1.1595636779519998,1,2544.0
2016-12-13,1.1568333043199999,1,2538.0
2016-12-14,1.148642183424,1,2520.0
2016-12-15,1.1440915607039999,1,2510.0
2016-12-16,1.1322599416319998,1,2484.0
2016-12-19,1.174125670656,1,2576.0
2016-12-20,1.17958641792,1,2588.0
2016-12-21,1.181406667008,1,2592.0
2016-12-22,1.1440915607039999,1,2510.0
2016-12-23,1.1395409379839998,1,2500.0
